lat1,lon1,lat2,lon2,day,night,sea,land,model_path,total_samples,pn_ratio,train,test,f1-score,Precision,Recall,confusion matrix,svm_kernel,svm_c,svm_gamma,time
41,117.5,34,127,1,0,1,0,model/seafog_sea_n_41.0_117.5_34.0_127.0.pkl,6484,1,5187,1297,0.89,0.86,0.93,,rbf,1,0.001,
41,117.5,34,127,1,0,1,1,model/seafog_sea_land_n_41.0_117.5_34.0_127.0.pkl,14226,1,11380,2846,0.89,0.87,0.91,,rbf,1,0.001,
41,117.5,34,127,0,1,1,0,model/seafog_sea_d_41.0_117.5_34.0_127.0.pkl,14946,1,11956,2990,0.87,0.85,0.9,,rbf,1,0.01,
41,117.5,34,127,0,1,1,1,,,,,,,,,,,,,
41,117.5,34,127,1,1,1,0,,,,,,,,,,,,,
41,117.5,34,127,1,1,1,1,,,,,,,,,,,,,
